ARTICLE_CD|PART_NO|COLOR
06MAWOXF08|0|Purple
06MAWOXF08|2|Black
06MAWOXF08|4|Red
06MAWOXF08|6|Red
06MAWOXF08|9|Red
06MAWOXF08|15|Red
06MAWOXF08|18|Orange
06MAWOXF08|25|Red
06MAWOXF08|27|Red
06MAWOXF08|29|Green
06MAWOXF08|37|Red
06MAWOXF08|40|Blue
06MAWOXF08|43|Orange
06MAWOXF08|44|White
06MAWOXF08|46|Orange
06MAWOXF08|47|Purple
06MAWOXF08|48|White
06MAWOXF08|50|Blue
06MAWOXF08|53|Green
06MAWOXF08|56|White
06MAWOXF08|57|Green
06MAWOXF08|60|White
06MAWOXF08|62|Yellow
06MAWOXF08|63|Green
06MAWOXF08|64|Pink
06MAWOXF08|65|White
06MAWOXF08|69|Red
06MAWOXF08|70|Orange
06MAWOXF08|71|White
06MAWOXF08|72|Pink
06MAWOXF08|73|Yellow
06MAWOXF08|74|Blue
06MAWOXF08|75|White
06MAWOXF08|76|Black
06MAWOXF08|77|Purple
06MAWOXF08|83|Purple
06MAWOXF08|86|Purple
06MAWOXF08|90|White
06MAWOXF08|91|Red
06MAWOXF08|92|Yellow
06MAWOXF08|93|Blue
06MAWOXF08|94|Pink
06MAWOXF08|95|Green
06MAWOXF08|97|Blue
06MAWOXF08|98|Purple
06MAWOXF08|99|Orange
074YDQ78YT|0|Yellow
074YDQ78YT|2|Purple
074YDQ78YT|5|Black
074YDQ78YT|6|Green
074YDQ78YT|8|Green
074YDQ78YT|9|Green
074YDQ78YT|11|Pink
074YDQ78YT|12|Yellow
074YDQ78YT|24|Orange
074YDQ78YT|25|White
074YDQ78YT|26|White
074YDQ78YT|31|Red
074YDQ78YT|32|Black
074YDQ78YT|33|Yellow
074YDQ78YT|34|Black
074YDQ78YT|35|Green
074YDQ78YT|38|Yellow
074YDQ78YT|43|Blue
074YDQ78YT|44|White
074YDQ78YT|49|White
074YDQ78YT|50|Purple
074YDQ78YT|54|Orange
074YDQ78YT|55|Green
074YDQ78YT|56|Blue
074YDQ78YT|59|Red
074YDQ78YT|60|Green
074YDQ78YT|61|Pink
074YDQ78YT|62|Green
074YDQ78YT|63|Black
074YDQ78YT|65|Blue
074YDQ78YT|68|White
074YDQ78YT|69|Blue
074YDQ78YT|71|Yellow
074YDQ78YT|72|Green
074YDQ78YT|73|Red
074YDQ78YT|75|Orange
074YDQ78YT|76|Pink
074YDQ78YT|79|Black
074YDQ78YT|80|Blue
074YDQ78YT|82|Orange
074YDQ78YT|83|Black
074YDQ78YT|88|Orange
074YDQ78YT|89|Blue
074YDQ78YT|90|Black
074YDQ78YT|91|Black
074YDQ78YT|92|Green
074YDQ78YT|94|Red
074YDQ78YT|95|Red
074YDQ78YT|96|Purple
074YDQ78YT|99|Red
08B851U815|1|Blue
08B851U815|2|White
08B851U815|4|Purple
08B851U815|6|Red
08B851U815|9|Blue
08B851U815|10|Green
08B851U815|12|Blue
08B851U815|14|Orange
08B851U815|16|White
08B851U815|17|Pink
08B851U815|18|Purple
08B851U815|20|Green
08B851U815|22|Red
08B851U815|24|Pink
08B851U815|26|Green
08B851U815|29|Yellow
08B851U815|38|Blue
08B851U815|42|Red
08B851U815|44|Yellow
08B851U815|46|White
08B851U815|47|Green
08B851U815|48|Purple
08B851U815|50|White
08B851U815|51|Red
08B851U815|53|Pink
08B851U815|54|Green
08B851U815|56|Yellow
08B851U815|59|Pink
08B851U815|60|Purple
08B851U815|62|Blue
08B851U815|63|Black
08B851U815|66|Blue
08B851U815|70|Black
08B851U815|72|Orange
08B851U815|73|Purple
08B851U815|74|Red
08B851U815|75|Red
08B851U815|78|Blue
08B851U815|80|Black
08B851U815|89|White
08B851U815|90|White
08B851U815|92|Pink
08B851U815|95|Purple
08B851U815|97|Yellow
08B851U815|99|Orange
0FFHWI155O|1|Purple
0FFHWI155O|2|White
0FFHWI155O|3|White
0FFHWI155O|5|White
0FFHWI155O|7|Black
0FFHWI155O|14|Black
0FFHWI155O|15|Black
0FFHWI155O|16|Orange
0FFHWI155O|18|Green
0FFHWI155O|19|White
0FFHWI155O|20|Green
0FFHWI155O|26|Purple
0FFHWI155O|28|Red
0FFHWI155O|30|White
0FFHWI155O|33|Red
0FFHWI155O|34|Pink
0FFHWI155O|35|Orange
0FFHWI155O|41|Green
0FFHWI155O|42|Purple
0FFHWI155O|43|Pink
0FFHWI155O|45|Yellow
0FFHWI155O|48|Blue
0FFHWI155O|50|Red
0FFHWI155O|51|Purple
0FFHWI155O|54|Black
0FFHWI155O|58|Pink
0FFHWI155O|59|Blue
0FFHWI155O|60|Black
0FFHWI155O|62|Blue
0FFHWI155O|63|Green
0FFHWI155O|65|Orange
0FFHWI155O|68|Yellow
0FFHWI155O|70|Green
0FFHWI155O|73|Purple
0FFHWI155O|74|Pink
0FFHWI155O|76|Black
0FFHWI155O|79|Orange
0FFHWI155O|80|Purple
0FFHWI155O|81|Yellow
0FFHWI155O|86|White
0FFHWI155O|87|White
0FFHWI155O|94|Black
0FFHWI155O|95|Green
0FFHWI155O|98|Yellow
0SAG3TSQIR|1|Red
0SAG3TSQIR|2|Black
0SAG3TSQIR|3|Purple
0SAG3TSQIR|4|Blue
0SAG3TSQIR|5|Yellow
0SAG3TSQIR|6|Yellow
0SAG3TSQIR|9|Yellow
0SAG3TSQIR|10|Red
0SAG3TSQIR|11|White
0SAG3TSQIR|16|Orange
0SAG3TSQIR|20|Orange
0SAG3TSQIR|25|Red
0SAG3TSQIR|28|Yellow
0SAG3TSQIR|32|Red
0SAG3TSQIR|34|Orange
0SAG3TSQIR|38|Pink
0SAG3TSQIR|40|Black
0SAG3TSQIR|43|Pink
0SAG3TSQIR|46|Orange
0SAG3TSQIR|47|White
0SAG3TSQIR|48|Orange
0SAG3TSQIR|49|Red
0SAG3TSQIR|50|Pink
0SAG3TSQIR|51|Yellow
0SAG3TSQIR|52|Yellow
0SAG3TSQIR|53|Orange
0SAG3TSQIR|55|Yellow
0SAG3TSQIR|56|Black
0SAG3TSQIR|59|Red
0SAG3TSQIR|65|Yellow
0SAG3TSQIR|66|Green
0SAG3TSQIR|70|Purple
0SAG3TSQIR|71|Black
0SAG3TSQIR|73|Green
0SAG3TSQIR|77|White
0SAG3TSQIR|79|Orange
0SAG3TSQIR|81|Red
0SAG3TSQIR|82|Purple
0SAG3TSQIR|83|Orange
0SAG3TSQIR|85|Orange
0SAG3TSQIR|86|Black
0SAG3TSQIR|87|Blue
0SAG3TSQIR|89|Purple
0SAG3TSQIR|90|Red
0SAG3TSQIR|94|Blue
0SAG3TSQIR|95|Black
0SAG3TSQIR|96|Green
0SAG3TSQIR|99|Green
0WB8LM298R|1|Green
0WB8LM298R|2|Orange
0WB8LM298R|4|Yellow
0WB8LM298R|7|Purple
0WB8LM298R|9|Green
0WB8LM298R|10|Red
0WB8LM298R|11|Green
0WB8LM298R|17|Orange
0WB8LM298R|18|Red
0WB8LM298R|20|Green
0WB8LM298R|21|Pink
0WB8LM298R|27|Black
0WB8LM298R|28|Orange
0WB8LM298R|30|Yellow
