Station_Code	Max_Tmp_Corr	Min_Tmp_Corr	Total_Prcp_Corr
USC00110072	-0.27	-0.29	0.21
USC00110187	0.28	0.11	0.02
USC00110338	-0.30	0.22	0.25
USC00111280	-0.25	-0.33	-0.13
USC00111436	0.10	0.01	0.09
USC00112140	-0.15	-0.10	0.27
USC00112193	-0.38	0.32	0.33
USC00112348	0.33	0.29	-0.12
USC00112483	-0.35	-0.09	0.20
USC00113335	0.09	-0.30	0.00
USC00113879	0.19	0.36	-0.13
USC00114108	-0.07	0.28	0.29
USC00114198	-0.11	-0.14	0.25
USC00114442	0.02	0.12	0.13
USC00114823	-0.27	0.27	0.25
USC00115079	-0.52	-0.38	0.36
USC00115326	-0.19	-0.05	0.01
USC00115515	0.09	0.13	-0.08
USC00115712	-0.08	-0.01	0.00
USC00115768	-0.23	-0.24	0.09
USC00115833	-0.20	-0.10	0.13
USC00115901	-0.03	0.32	0.27
USC00115943	-0.21	0.24	0.21
USC00116446	-0.22	-0.28	0.35
USC00116526	-0.07	-0.15	0.24
USC00116558	-0.07	-0.11	0.40
USC00116579	-0.25	0.04	0.05
USC00116610	-0.30	-0.40	0.10
USC00116738	0.20	0.01	0.14
USC00116910	-0.16	0.08	0.25
USC00117551	-0.27	-0.23	0.09
USC00118147	-0.16	-0.16	-0.32
USC00118740	-0.09	0.06	0.05
USC00118916	-0.03	0.16	0.03
USC00119241	-0.13	0.19	0.28
USC00119354	-0.00	0.08	0.19
USC00120177	0.05	0.15	0.31
USC00120200	-0.13	-0.14	0.10
USC00120676	-0.14	-0.19	0.37
USC00120784	-0.15	-0.24	0.21
USC00121030	0.10	0.30	0.16
USC00121229	-0.09	0.05	0.01
USC00121425	-0.39	-0.47	-0.28
USC00121747	-0.06	0.11	0.22
USC00121873	-0.28	-0.07	0.18
USC00122149	-0.38	-0.33	0.23
USC00123418	-0.20	-0.20	0.20
USC00123513	-0.30	-0.45	0.01
USC00123527	-0.20	-0.19	0.28
USC00124008	-0.39	-0.31	-0.39
USC00124181	0.00	-0.04	0.21
USC00124837	-0.09	-0.10	0.10
USC00125237	0.12	0.12	0.28
USC00125337	-0.12	-0.09	0.31
USC00126001	0.09	0.43	0.00
USC00126580	-0.09	0.19	0.32
USC00126705	-0.44	-0.28	0.32
USC00127125	0.11	-0.34	0.24
USC00127298	-0.09	-0.18	0.11
USC00127482	0.44	0.42	0.21
USC00127522	-0.12	-0.18	-0.28
USC00127646	0.01	0.05	0.25
USC00127755	-0.15	-0.14	-0.44
USC00127875	0.15	0.37	-0.10
USC00127935	0.04	0.07	-0.08
USC00128036	-0.01	-0.08	0.20
USC00129080	-0.20	-0.00	-0.03
USC00129113	0.07	0.12	0.25
USC00129253	-0.02	-0.02	0.03
USC00129511	-0.05	-0.04	0.47
USC00129557	-0.29	0.05	0.23
USC00129670	-0.18	-0.18	0.33
USC00130112	-0.46	-0.44	0.22
USC00130133	-0.20	-0.37	0.17
USC00130600	-0.27	-0.42	0.13
USC00131402	-0.35	0.07	0.33
USC00131533	-0.17	-0.44	0.16
USC00131635	-0.17	-0.07	0.08
USC00132724	-0.31	-0.35	-0.10
USC00132789	-0.18	-0.10	0.37
USC00132864	-0.24	-0.05	0.52
USC00132977	-0.16	-0.19	0.13
USC00132999	-0.46	-0.38	-0.16
USC00134063	-0.41	-0.51	0.45
USC00134142	-0.29	-0.26	0.35
USC00134735	-0.21	-0.21	0.57
USC00134894	-0.28	-0.51	0.26
USC00135769	-0.25	-0.17	0.22
USC00135796	0.02	-0.07	0.25
USC00135952	-0.40	-0.54	0.23
USC00137147	-0.11	0.07	0.06
USC00137161	-0.39	-0.35	0.17
USC00137979	-0.18	0.00	-0.41
USC00138296	-0.36	-0.35	0.05
USC00138688	-0.41	-0.64	0.43
USC00250070	0.21	0.33	-0.08
USC00250130	0.35	0.43	-0.03
USC00250375	-0.16	-0.25	-0.04
USC00250420	-0.31	-0.35	-0.18
USC00250435	-0.21	-0.22	0.02
USC00250622	-0.15	0.05	0.02
USC00250640	-0.35	-0.44	0.11
USC00251145	-0.06	0.01	0.30
USC00251200	-0.20	-0.07	0.09
USC00252020	-0.00	0.04	0.02
USC00252100	0.31	0.32	-0.20
USC00252205	-0.24	-0.21	0.33
USC00252820	-0.10	-0.14	0.15
USC00252840	-0.10	-0.21	-0.06
USC00253035	-0.39	0.13	0.29
USC00253175	0.05	0.00	-0.13
USC00253185	-0.14	0.19	0.15
USC00253365	0.15	0.23	0.27
USC00253615	0.05	-0.14	0.09
USC00253630	-0.43	-0.49	0.25
USC00253660	-0.17	-0.16	0.11
USC00253715	0.42	0.45	-0.49
USC00253735	-0.08	-0.26	-0.04
USC00253910	-0.09	-0.33	0.09
USC00254110	-0.22	-0.70	-0.12
USC00254440	-0.02	-0.28	-0.01
USC00254900	-0.55	-0.36	-0.49
USC00254985	-0.21	-0.01	-0.11
USC00255080	-0.08	-0.04	-0.10
USC00255310	0.11	-0.23	0.23
USC00255470	-0.13	-0.01	-0.17
USC00255565	-0.58	-0.32	0.12
USC00256040	0.10	0.03	0.10
USC00256135	-0.22	-0.17	0.22
USC00256570	-0.53	-0.60	-0.04
USC00256970	0.07	0.10	0.36
USC00257070	0.05	0.11	-0.04
USC00257515	0.01	0.08	0.29
USC00257715	-0.41	-0.71	0.11
USC00258133	0.07	0.19	0.19
USC00258395	-0.24	-0.06	0.05
USC00258465	0.03	-0.04	0.01
USC00258480	-0.02	-0.21	0.09
USC00258915	-0.35	-0.40	0.34
USC00259090	0.04	0.19	0.09
USC00259510	0.28	0.48	0.04
USC00331072	0.00	-0.12	0.32
USC00331152	-0.46	-0.46	-0.02
USC00331541	-0.41	-0.03	0.28
USC00331592	0.01	0.15	0.17
USC00331890	-0.36	-0.25	0.35
USC00332098	-0.13	-0.09	0.34
USC00332119	0.01	0.12	-0.16
USC00332791	-0.09	-0.13	0.32
USC00333375	0.03	0.17	0.24
USC00333758	-0.16	-0.22	-0.00
USC00333780	-0.36	-0.55	0.39
USC00334189	-0.04	-0.12	0.05
USC00335041	-0.04	-0.02	-0.06
USC00335297	0.02	0.15	0.47
USC00335315	-0.40	-0.17	-0.13
USC00336118	0.00	-0.02	0.51
USC00336196	-0.25	-0.28	0.47
USC00336600	0.22	0.30	0.25
USC00336781	0.04	0.27	0.14
USC00338313	0.09	0.18	0.23
USC00338534	0.21	0.27	0.42
USC00338552	-0.09	0.08	0.02
USC00338769	-0.26	-0.23	0.32
USC00338822	-0.37	-0.37	0.26
USC00338830	-0.27	0.29	0.18
USC00339312	0.14	-0.30	0.37
